cohort_name,estimate,value,diagnostics,source
ankle sprain,Clinical description,"Ankle sprain is an injury to the ligaments surrounding the ankle, typically caused by a sudden twisting or inversion of the foot. This often occurs during sports or other physical activities, leading to damage or tearing of the ligaments.",cohort_count,gemini-2.0-flash
ankle sprain,Frequency,"Ankle sprains are a common musculoskeletal injury, and they are frequently encountered in real-world health care data.",cohort_count,gemini-2.0-flash
ankle sprain,Median age of incident cases,15 to 35 (Ankle sprains commonly occur in active young adults and athletes.),cohort_characteristics,gemini-2.0-flash
ankle sprain,Percentage male,50% to 70% (Males tend to participate in higher-risk sports and activities that predispose them to ankle sprains.),cohort_characteristics,gemini-2.0-flash
ankle sprain,Survival at five years,"95% to 99% (Ankle sprains are generally not life-threatening, so survival rates are expected to be very high and comparable to the general population.)",cohort_survival,gemini-2.0-flash
ankle sprain,Frequently seen comorbidities,"Obesity, Osteoarthritis, Peripheral neuropathy, Diabetes mellitus, Hypertension, Chronic kidney disease, Depression, Anxiety, Gout, Plantar fasciitis (These comorbidities are commonly seen alongside ankle sprains due to shared risk factors such as physical activity levels, age-related joint degeneration, and systemic conditions affecting tissue health and pain perception.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
ankle sprain,Frequently seen signs and symptoms,"Pain, Swelling, Bruising, Tenderness to touch, Limited range of motion, Difficulty walking, Instability, Stiffness, Popping sensation, Muscle spasm (These signs and symptoms directly result from the ligament damage, inflammation, and associated tissue responses in the injured ankle joint.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
ankle sprain,Frequently seen medications,"Ibuprofen, Naproxen, Acetaminophen, Oxycodone, Tramadol, Gabapentin, Amitriptyline, Diazepam, Cyclobenzaprine, Topical diclofenac (These medications are commonly used for pain relief, inflammation reduction, and muscle relaxation associated with ankle sprains.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
prostate cancer,Clinical description,"Prostate cancer arises from the uncontrolled growth of cells within the prostate gland, often driven by hormonal factors, genetic predisposition, and environmental influences. This leads to the formation of tumors that can disrupt normal prostate function and potentially metastasize to other parts of the body.",cohort_count,gemini-2.0-flash
prostate cancer,Frequency,"Prostate cancer is one of the most frequently diagnosed cancers in men, and we can expect to identify a substantial number of cases in real-world healthcare data. Its high prevalence makes it a significant health concern.",cohort_count,gemini-2.0-flash
prostate cancer,Median age of incident cases,"65 to 75 (The risk of prostate cancer increases with age, with most cases diagnosed in men over 65.)",cohort_characteristics,gemini-2.0-flash
prostate cancer,Percentage male,99% to 100% (Prostate cancer is almost exclusively diagnosed in males due to the presence of the prostate gland.),cohort_characteristics,gemini-2.0-flash
prostate cancer,Survival at five years,"30% to 98% (Survival rates vary greatly depending on the stage and grade of the cancer at diagnosis, as well as the treatment approach and the patient's overall health.)",cohort_survival,gemini-2.0-flash
prostate cancer,Frequently seen comorbidities,"Hypertension, Hyperlipidemia, Type 2 Diabetes, Benign Prostatic Hyperplasia, Ischemic Heart Disease, Osteoarthritis, Obesity, Chronic Kidney Disease, Depression, Peripheral Vascular Disease (These comorbidities are common in older men, who are also at higher risk for prostate cancer, reflecting age-related physiological changes and lifestyle factors.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.0-flash
